"TIME","GEO","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2012","Greece","Females","Less than 1 year","Year","83.4",""
"2012","Spain","Total","Less than 1 year","Year","82.5",""
"2012","Spain","Males","Less than 1 year","Year","79.5",""
"2012","Spain","Females","Less than 1 year","Year","85.5",""
"2012","France","Total","Less than 1 year","Year","82.1","b"
"2012","France","Males","Less than 1 year","Year","78.7","b"
"2012","France","Females","Less than 1 year","Year","85.4","b"
"2012","France (metropolitan)","Total","Less than 1 year","Year","82.1",""
"2012","France (metropolitan)","Males","Less than 1 year","Year","78.7",""
"2012","France (metropolitan)","Females","Less than 1 year","Year","85.4",""
"2012","Croatia","Total","Less than 1 year","Year","77.3",""
"2012","Croatia","Males","Less than 1 year","Year","73.9",""
"2012","Croatia","Females","Less than 1 year","Year","80.6",""
"2012","Italy","Total","Less than 1 year","Year","82.4",""
"2012","Italy","Males","Less than 1 year","Year","79.8",""
"2012","Italy","Females","Less than 1 year","Year","84.8",""
"2012","Cyprus","Total","Less than 1 year","Year","81.1",""
"2012","Cyprus","Males","Less than 1 year","Year","78.9",""
"2012","Cyprus","Females","Less than 1 year","Year","83.4",""
"2012","Latvia","Total","Less than 1 year","Year","74.1",""
"2012","Latvia","Males","Less than 1 year","Year","68.9",""
"2012","Latvia","Females","Less than 1 year","Year","78.9",""
"2012","Lithuania","Total","Less than 1 year","Year","74.1",""
"2012","Lithuania","Males","Less than 1 year","Year","68.4",""
"2012","Lithuania","Females","Less than 1 year","Year","79.6",""
"2012","Luxembourg","Total","Less than 1 year","Year","81.5","b"
"2012","Luxembourg","Males","Less than 1 year","Year","79.1","b"
"2012","Luxembourg","Females","Less than 1 year","Year","83.8","b"
"2012","Hungary","Total","Less than 1 year","Year","75.3","b"
"2012","Hungary","Males","Less than 1 year","Year","71.6","b"
"2012","Hungary","Females","Less than 1 year","Year","78.7","b"
"2012","Malta","Total","Less than 1 year","Year","80.9",""
"2012","Malta","Males","Less than 1 year","Year","78.6",""
"2012","Malta","Females","Less than 1 year","Year","83.0",""
"2012","Netherlands","Total","Less than 1 year","Year","81.2",""
"2012","Netherlands","Males","Less than 1 year","Year","79.3",""
"2012","Netherlands","Females","Less than 1 year","Year","83.0",""
"2012","Austria","Total","Less than 1 year","Year","81.1",""
"2012","Austria","Males","Less than 1 year","Year","78.4",""
"2012","Austria","Females","Less than 1 year","Year","83.6",""
"2012","Poland","Total","Less than 1 year","Year","76.9",""
"2012","Poland","Males","Less than 1 year","Year","72.6",""
"2012","Poland","Females","Less than 1 year","Year","81.1",""
"2012","Portugal","Total","Less than 1 year","Year","80.6",""
"2012","Portugal","Males","Less than 1 year","Year","77.3",""
"2012","Portugal","Females","Less than 1 year","Year","83.6",""
"2012","Romania","Total","Less than 1 year","Year","74.4",""
"2012","Romania","Males","Less than 1 year","Year","70.9",""
"2012","Romania","Females","Less than 1 year","Year","78.1",""
"2012","Slovenia","Total","Less than 1 year","Year","80.3",""
"2012","Slovenia","Males","Less than 1 year","Year","77.1",""
"2012","Slovenia","Females","Less than 1 year","Year","83.3",""
"2012","Slovakia","Total","Less than 1 year","Year","76.3",""
"2012","Slovakia","Males","Less than 1 year","Year","72.5",""
"2012","Slovakia","Females","Less than 1 year","Year","79.9",""
"2012","Finland","Total","Less than 1 year","Year","80.7",""
"2012","Finland","Males","Less than 1 year","Year","77.7",""
"2012","Finland","Females","Less than 1 year","Year","83.7",""
"2012","Sweden","Total","Less than 1 year","Year","81.8",""
"2012","Sweden","Males","Less than 1 year","Year","79.9",""
"2012","Sweden","Females","Less than 1 year","Year","83.6",""
"2012","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Total","Less than 1 year","Year","80.3","b"
"2012","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Males","Less than 1 year","Year","77.4","b"
"2012","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Females","Less than 1 year","Year","83.1","b"
"2012","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Total","Less than 1 year","Year","80.3","b"
"2012","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Males","Less than 1 year","Year","77.4","b"
"2012","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Females","Less than 1 year","Year","83.1","b"
"2012","European Free Trade Association","Total","Less than 1 year","Year","82.3",""
"2012","European Free Trade Association","Males","Less than 1 year","Year","80.2",""
"2012","European Free Trade Association","Females","Less than 1 year","Year","84.4",""
"2012","Iceland","Total","Less than 1 year","Year","83.0",""
"2012","Iceland","Males","Less than 1 year","Year","81.6",""
"2012","Iceland","Females","Less than 1 year","Year","84.3",""
"2012","Liechtenstein","Total","Less than 1 year","Year","82.5",""
"2012","Liechtenstein","Males","Less than 1 year","Year","79.7",""
"2012","Liechtenstein","Females","Less than 1 year","Year","85.2",""
"2012","Norway","Total","Less than 1 year","Year","81.5",""
"2012","Norway","Males","Less than 1 year","Year","79.5",""
"2012","Norway","Females","Less than 1 year","Year","83.5",""
"2012","Switzerland","Total","Less than 1 year","Year","82.8",""
"2012","Switzerland","Males","Less than 1 year","Year","80.6",""
"2012","Switzerland","Females","Less than 1 year","Year","84.9",""
"2012","United Kingdom","Total","Less than 1 year","Year","81.0",""
"2012","United Kingdom","Males","Less than 1 year","Year","79.1",""
"2012","United Kingdom","Females","Less than 1 year","Year","82.8",""
"2012","Montenegro","Total","Less than 1 year","Year","76.3",""
"2012","Montenegro","Males","Less than 1 year","Year","74.2",""
"2012","Montenegro","Females","Less than 1 year","Year","78.3",""
"2012","North Macedonia","Total","Less than 1 year","Year","74.9",""
"2012","North Macedonia","Males","Less than 1 year","Year","73.0",""
"2012","North Macedonia","Females","Less than 1 year","Year","76.9",""
"2012","Albania","Total","Less than 1 year","Year",":",""
"2012","Albania","Males","Less than 1 year","Year",":",""
"2012","Albania","Females","Less than 1 year","Year",":",""
"2012","Serbia","Total","Less than 1 year","Year","74.9",""
"2012","Serbia","Males","Less than 1 year","Year","72.3",""
"2012","Serbia","Females","Less than 1 year","Year","77.5",""
"2012","Turkey","Total","Less than 1 year","Year","77.6",""
"2012","Turkey","Males","Less than 1 year","Year","74.8",""
"2012","Turkey","Females","Less than 1 year","Year","80.5",""
"2012","Belarus","Total","Less than 1 year","Year","72.3",""
"2012","Belarus","Males","Less than 1 year","Year","66.6",""
"2012","Belarus","Females","Less than 1 year","Year","77.8",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Less than 1 year","Year",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Less than 1 year","Year",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Less than 1 year","Year",":",""
"2012","Moldova","Total","Less than 1 year","Year","71.0",""
"2012","Moldova","Males","Less than 1 year","Year","67.0",""
"2012","Moldova","Females","Less than 1 year","Year","74.9",""
"2012","Russia","Total","Less than 1 year","Year",":",""
"2012","Russia","Males","Less than 1 year","Year",":",""
"2012","Russia","Females","Less than 1 year","Year",":",""
"2012","San Marino","Total","Less than 1 year","Year","85.6",""
"2012","San Marino","Males","Less than 1 year","Year","84.1",""
"2012","San Marino","Females","Less than 1 year","Year","86.8",""
"2012","Ukraine","Total","Less than 1 year","Year","71.2",""
"2012","Ukraine","Males","Less than 1 year","Year","66.1",""
"2012","Ukraine","Females","Less than 1 year","Year","76.1",""
"2012","Armenia","Total","Less than 1 year","Year",":",""
"2012","Armenia","Males","Less than 1 year","Year",":",""
"2012","Armenia","Females","Less than 1 year","Year",":",""
"2012","Azerbaijan","Total","Less than 1 year","Year","74.1",""
"2012","Azerbaijan","Males","Less than 1 year","Year","71.6",""
"2012","Azerbaijan","Females","Less than 1 year","Year","76.6",""
"2012","Georgia","Total","Less than 1 year","Year",":",""
"2012","Georgia","Males","Less than 1 year","Year",":",""
"2012","Georgia","Females","Less than 1 year","Year",":",""
"2013","European Union - 27 countries (from 2020)","Total","Less than 1 year","Year","80.5",""
"2013","European Union - 27 countries (from 2020)","Males","Less than 1 year","Year","77.5",""
"2013","European Union - 27 countries (from 2020)","Females","Less than 1 year","Year","83.3",""
"2013","European Union - 28 countries (2013-2020)","Total","Less than 1 year","Year","80.5",""
"2013","European Union - 28 countries (2013-2020)","Males","Less than 1 year","Year","77.7",""
"2013","European Union - 28 countries (2013-2020)","Females","Less than 1 year","Year","83.3",""
"2013","European Union - 27 countries (2007-2013)","Total","Less than 1 year","Year","80.6",""
"2013","European Union - 27 countries (2007-2013)","Males","Less than 1 year","Year","77.7",""
"2013","European Union - 27 countries (2007-2013)","Females","Less than 1 year","Year","83.3",""
"2013","Euro area - 19 countries  (from 2015)","Total","Less than 1 year","Year","81.6",""
"2013","Euro area - 19 countries  (from 2015)","Males","Less than 1 year","Year","78.8",""
"2013","Euro area - 19 countries  (from 2015)","Females","Less than 1 year","Year","84.3",""
"2013","Euro area - 18 countries (2014)","Total","Less than 1 year","Year","81.7",""
"2013","Euro area - 18 countries (2014)","Males","Less than 1 year","Year","78.9",""
"2013","Euro area - 18 countries (2014)","Females","Less than 1 year","Year","84.3",""
"2013","Belgium","Total","Less than 1 year","Year","80.7",""
"2013","Belgium","Males","Less than 1 year","Year","78.1",""
"2013","Belgium","Females","Less than 1 year","Year","83.2",""
"2013","Bulgaria","Total","Less than 1 year","Year","74.9",""
"2013","Bulgaria","Males","Less than 1 year","Year","71.3",""
"2013","Bulgaria","Females","Less than 1 year","Year","78.6",""
"2013","Czechia","Total","Less than 1 year","Year","78.3",""
"2013","Czechia","Males","Less than 1 year","Year","75.2",""
"2013","Czechia","Females","Less than 1 year","Year","81.3",""
"2013","Denmark","Total","Less than 1 year","Year","80.4",""
"2013","Denmark","Males","Less than 1 year","Year","78.3",""
"2013","Denmark","Females","Less than 1 year","Year","82.4",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Less than 1 year","Year","80.6",""
"2013","Germany (until 1990 former territory of the FRG)","Males","Less than 1 year","Year","78.1",""
"2013","Germany (until 1990 former territory of the FRG)","Females","Less than 1 year","Year","83.0",""
"2013","Germany including former GDR","Total","Less than 1 year","Year","80.6",""
"2013","Germany including former GDR","Males","Less than 1 year","Year","78.1",""
"2013","Germany including former GDR","Females","Less than 1 year","Year","83.0",""
"2013","Estonia","Total","Less than 1 year","Year","77.5",""
"2013","Estonia","Males","Less than 1 year","Year","72.8",""
"2013","Estonia","Females","Less than 1 year","Year","81.7",""
"2013","Ireland","Total","Less than 1 year","Year","81.0",""
"2013","Ireland","Males","Less than 1 year","Year","78.9",""
"2013","Ireland","Females","Less than 1 year","Year","83.1",""
"2013","Greece","Total","Less than 1 year","Year","81.4",""
"2013","Greece","Males","Less than 1 year","Year","78.7",""
"2013","Greece","Females","Less than 1 year","Year","84.0",""
"2013","Spain","Total","Less than 1 year","Year","83.2",""
"2013","Spain","Males","Less than 1 year","Year","80.2",""
"2013","Spain","Females","Less than 1 year","Year","86.1",""
"2013","France","Total","Less than 1 year","Year","82.4",""
"2013","France","Males","Less than 1 year","Year","79.0",""
"2013","France","Females","Less than 1 year","Year","85.6",""
"2013","France (metropolitan)","Total","Less than 1 year","Year",":",""
"2013","France (metropolitan)","Males","Less than 1 year","Year",":",""
"2013","France (metropolitan)","Females","Less than 1 year","Year",":",""
"2013","Croatia","Total","Less than 1 year","Year","77.8",""
"2013","Croatia","Males","Less than 1 year","Year","74.5",""
"2013","Croatia","Females","Less than 1 year","Year","81.0",""
"2013","Italy","Total","Less than 1 year","Year","82.9",""
"2013","Italy","Males","Less than 1 year","Year","80.3",""
"2013","Italy","Females","Less than 1 year","Year","85.2",""
"2013","Cyprus","Total","Less than 1 year","Year","82.5",""
"2013","Cyprus","Males","Less than 1 year","Year","80.1",""
"2013","Cyprus","Females","Less than 1 year","Year","85.0",""
"2013","Latvia","Total","Less than 1 year","Year","74.3",""
"2013","Latvia","Males","Less than 1 year","Year","69.3",""
"2013","Latvia","Females","Less than 1 year","Year","78.9",""
"2013","Lithuania","Total","Less than 1 year","Year","74.1",""
"2013","Lithuania","Males","Less than 1 year","Year","68.5",""
"2013","Lithuania","Females","Less than 1 year","Year","79.6",""
"2013","Luxembourg","Total","Less than 1 year","Year","81.9",""
"2013","Luxembourg","Males","Less than 1 year","Year","79.8",""
"2013","Luxembourg","Females","Less than 1 year","Year","83.9",""
"2013","Hungary","Total","Less than 1 year","Year","75.8",""
"2013","Hungary","Males","Less than 1 year","Year","72.2",""
"2013","Hungary","Females","Less than 1 year","Year","79.1",""
"2013","Malta","Total","Less than 1 year","Year","81.9",""
"2013","Malta","Males","Less than 1 year","Year","79.6",""
"2013","Malta","Females","Less than 1 year","Year","84.0",""
"2013","Netherlands","Total","Less than 1 year","Year","81.4",""
"2013","Netherlands","Males","Less than 1 year","Year","79.5",""
"2013","Netherlands","Females","Less than 1 year","Year","83.2",""
"2013","Austria","Total","Less than 1 year","Year","81.3",""
"2013","Austria","Males","Less than 1 year","Year","78.6",""
"2013","Austria","Females","Less than 1 year","Year","83.8",""
"2013","Poland","Total","Less than 1 year","Year","77.1",""
"2013","Poland","Males","Less than 1 year","Year","73.0",""
"2013","Poland","Females","Less than 1 year","Year","81.2",""
"2013","Portugal","Total","Less than 1 year","Year","80.9",""
"2013","Portugal","Males","Less than 1 year","Year","77.6",""
"2013","Portugal","Females","Less than 1 year","Year","84.0",""
"2013","Romania","Total","Less than 1 year","Year","75.1",""
"2013","Romania","Males","Less than 1 year","Year","71.6",""
"2013","Romania","Females","Less than 1 year","Year","78.7",""
"2013","Slovenia","Total","Less than 1 year","Year","80.5",""
"2013","Slovenia","Males","Less than 1 year","Year","77.2",""
"2013","Slovenia","Females","Less than 1 year","Year","83.6",""
"2013","Slovakia","Total","Less than 1 year","Year","76.6",""
"2013","Slovakia","Males","Less than 1 year","Year","72.9",""
"2013","Slovakia","Females","Less than 1 year","Year","80.1",""
"2013","Finland","Total","Less than 1 year","Year","81.1",""
"2013","Finland","Males","Less than 1 year","Year","78.0",""
"2013","Finland","Females","Less than 1 year","Year","84.1",""
"2013","Sweden","Total","Less than 1 year","Year","82.0",""
"2013","Sweden","Males","Less than 1 year","Year","80.2",""
"2013","Sweden","Females","Less than 1 year","Year","83.8",""
"2013","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Total","Less than 1 year","Year","80.6",""
"2013","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Males","Less than 1 year","Year","77.7",""
"2013","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Females","Less than 1 year","Year","83.3",""
"2013","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Total","Less than 1 year","Year","80.6",""
"2013","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Males","Less than 1 year","Year","77.8",""
"2013","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Females","Less than 1 year","Year","83.3",""
"2013","European Free Trade Association","Total","Less than 1 year","Year","82.5",""
"2013","European Free Trade Association","Males","Less than 1 year","Year","80.4",""
"2013","European Free Trade Association","Females","Less than 1 year","Year","84.5",""
"2013","Iceland","Total","Less than 1 year","Year","82.1",""
"2013","Iceland","Males","Less than 1 year","Year","80.5",""
"2013","Iceland","Females","Less than 1 year","Year","83.7",""
"2013","Liechtenstein","Total","Less than 1 year","Year","82.5",""
"2013","Liechtenstein","Males","Less than 1 year","Year","80.7",""
"2013","Liechtenstein","Females","Less than 1 year","Year","83.9",""
"2013","Norway","Total","Less than 1 year","Year","81.8",""
"2013","Norway","Males","Less than 1 year","Year","79.8",""
"2013","Norway","Females","Less than 1 year","Year","83.8",""
"2013","Switzerland","Total","Less than 1 year","Year","82.9",""
"2013","Switzerland","Males","Less than 1 year","Year","80.7",""
"2013","Switzerland","Females","Less than 1 year","Year","85.0",""
"2013","United Kingdom","Total","Less than 1 year","Year","81.1",""
"2013","United Kingdom","Males","Less than 1 year","Year","79.2",""
"2013","United Kingdom","Females","Less than 1 year","Year","82.9",""
"2013","Montenegro","Total","Less than 1 year","Year","76.5",""
"2013","Montenegro","Males","Less than 1 year","Year","74.1",""
"2013","Montenegro","Females","Less than 1 year","Year","79.0",""
"2013","North Macedonia","Total","Less than 1 year","Year","75.5",""
"2013","North Macedonia","Males","Less than 1 year","Year","73.4",""
"2013","North Macedonia","Females","Less than 1 year","Year","77.5",""
"2013","Albania","Total","Less than 1 year","Year","77.9",""
"2013","Albania","Males","Less than 1 year","Year","76.0",""
"2013","Albania","Females","Less than 1 year","Year","80.1",""
"2013","Serbia","Total","Less than 1 year","Year","75.3",""
"2013","Serbia","Males","Less than 1 year","Year","72.6",""
"2013","Serbia","Females","Less than 1 year","Year","77.9",""
"2013","Turkey","Total","Less than 1 year","Year","78.2",""
"2013","Turkey","Males","Less than 1 year","Year","75.4",""
"2013","Turkey","Females","Less than 1 year","Year","81.1",""
"2013","Belarus","Total","Less than 1 year","Year","72.7",""
"2013","Belarus","Males","Less than 1 year","Year","67.3",""
"2013","Belarus","Females","Less than 1 year","Year","78.0",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Less than 1 year","Year",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Less than 1 year","Year",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Less than 1 year","Year",":",""
"2013","Moldova","Total","Less than 1 year","Year",":",""
"2013","Moldova","Males","Less than 1 year","Year",":",""
"2013","Moldova","Females","Less than 1 year","Year",":",""
"2013","Russia","Total","Less than 1 year","Year",":",""
"2013","Russia","Males","Less than 1 year","Year",":",""
"2013","Russia","Females","Less than 1 year","Year",":",""
"2013","San Marino","Total","Less than 1 year","Year",":",""
"2013","San Marino","Males","Less than 1 year","Year",":",""
"2013","San Marino","Females","Less than 1 year","Year",":",""
"2013","Ukraine","Total","Less than 1 year","Year",":",""
"2013","Ukraine","Males","Less than 1 year","Year",":",""
"2013","Ukraine","Females","Less than 1 year","Year",":",""
"2013","Armenia","Total","Less than 1 year","Year",":",""
"2013","Armenia","Males","Less than 1 year","Year",":",""
"2013","Armenia","Females","Less than 1 year","Year",":",""
"2013","Azerbaijan","Total","Less than 1 year","Year","74.7",""
"2013","Azerbaijan","Males","Less than 1 year","Year","72.1",""
"2013","Azerbaijan","Females","Less than 1 year","Year","77.1",""
"2013","Georgia","Total","Less than 1 year","Year",":",""
"2013","Georgia","Males","Less than 1 year","Year",":",""
"2013","Georgia","Females","Less than 1 year","Year",":",""
"2014","European Union - 27 countries (from 2020)","Total","Less than 1 year","Year","80.8","b"
"2014","European Union - 27 countries (from 2020)","Males","Less than 1 year","Year","77.9","b"
"2014","European Union - 27 countries (from 2020)","Females","Less than 1 year","Year","83.7","b"
"2014","European Union - 28 countries (2013-2020)","Total","Less than 1 year","Year","80.9","b"
"2014","European Union - 28 countries (2013-2020)","Males","Less than 1 year","Year","78.1","b"
"2014","European Union - 28 countries (2013-2020)","Females","Less than 1 year","Year","83.6","b"
"2014","European Union - 27 countries (2007-2013)","Total","Less than 1 year","Year","80.9","b"
"2014","European Union - 27 countries (2007-2013)","Males","Less than 1 year","Year","78.1","b"
"2014","European Union - 27 countries (2007-2013)","Females","Less than 1 year","Year","83.7","b"
"2014","Euro area - 19 countries  (from 2015)","Total","Less than 1 year","Year","82.0","b"
"2014","Euro area - 19 countries  (from 2015)","Males","Less than 1 year","Year","79.2","b"
"2014","Euro area - 19 countries  (from 2015)","Females","Less than 1 year","Year","84.7","b"
"2014","Euro area - 18 countries (2014)","Total","Less than 1 year","Year","82.1","b"
"2014","Euro area - 18 countries (2014)","Males","Less than 1 year","Year","79.3","b"
"2014","Euro area - 18 countries (2014)","Females","Less than 1 year","Year","84.7","b"
"2014","Belgium","Total","Less than 1 year","Year","81.4",""
"2014","Belgium","Males","Less than 1 year","Year","78.8",""
"2014","Belgium","Females","Less than 1 year","Year","83.9",""
"2014","Bulgaria","Total","Less than 1 year","Year","74.5",""
"2014","Bulgaria","Males","Less than 1 year","Year","71.1",""
"2014","Bulgaria","Females","Less than 1 year","Year","78.0",""
"2014","Czechia","Total","Less than 1 year","Year","78.9",""
"2014","Czechia","Males","Less than 1 year","Year","75.8",""
"2014","Czechia","Females","Less than 1 year","Year","82.0",""
"2014","Denmark","Total","Less than 1 year","Year","80.7",""
"2014","Denmark","Males","Less than 1 year","Year","78.7",""
"2014","Denmark","Females","Less than 1 year","Year","82.8",""
"2014","Germany (until 1990 former territory of the FRG)","Total","Less than 1 year","Year","81.2",""
"2014","Germany (until 1990 former territory of the FRG)","Males","Less than 1 year","Year","78.7",""
"2014","Germany (until 1990 former territory of the FRG)","Females","Less than 1 year","Year","83.6",""
"2014","Germany including former GDR","Total","Less than 1 year","Year","81.2",""
"2014","Germany including former GDR","Males","Less than 1 year","Year","78.7",""
"2014","Germany including former GDR","Females","Less than 1 year","Year","83.6",""
"2014","Estonia","Total","Less than 1 year","Year","77.4",""
"2014","Estonia","Males","Less than 1 year","Year","72.4",""
"2014","Estonia","Females","Less than 1 year","Year","81.9",""
"2014","Ireland","Total","Less than 1 year","Year","81.4",""
"2014","Ireland","Males","Less than 1 year","Year","79.3",""
"2014","Ireland","Females","Less than 1 year","Year","83.5",""
"2014","Greece","Total","Less than 1 year","Year","81.5",""
"2014","Greece","Males","Less than 1 year","Year","78.8",""
"2014","Greece","Females","Less than 1 year","Year","84.1",""
"2014","Spain","Total","Less than 1 year","Year","83.3",""
"2014","Spain","Males","Less than 1 year","Year","80.4",""
"2014","Spain","Females","Less than 1 year","Year","86.2",""
"2014","France","Total","Less than 1 year","Year","82.9","b"
"2014","France","Males","Less than 1 year","Year","79.5","b"
"2014","France","Females","Less than 1 year","Year","86.1","b"
"2014","France (metropolitan)","Total","Less than 1 year","Year",":",""
"2014","France (metropolitan)","Males","Less than 1 year","Year",":",""
"2014","France (metropolitan)","Females","Less than 1 year","Year",":",""
"2014","Croatia","Total","Less than 1 year","Year","77.9",""
"2014","Croatia","Males","Less than 1 year","Year","74.7",""
"2014","Croatia","Females","Less than 1 year","Year","81.0",""
"2014","Italy","Total","Less than 1 year","Year","83.2",""
"2014","Italy","Males","Less than 1 year","Year","80.7",""
"2014","Italy","Females","Less than 1 year","Year","85.6",""
"2014","Cyprus","Total","Less than 1 year","Year","82.3",""
"2014","Cyprus","Males","Less than 1 year","Year","80.3",""
"2014","Cyprus","Females","Less than 1 year","Year","84.3",""
"2014","Latvia","Total","Less than 1 year","Year","74.5",""
"2014","Latvia","Males","Less than 1 year","Year","69.1",""
"2014","Latvia","Females","Less than 1 year","Year","79.4",""
"2014","Lithuania","Total","Less than 1 year","Year","74.7",""
"2014","Lithuania","Males","Less than 1 year","Year","69.2",""
"2014","Lithuania","Females","Less than 1 year","Year","80.1",""
"2014","Luxembourg","Total","Less than 1 year","Year","82.3",""
"2014","Luxembourg","Males","Less than 1 year","Year","79.4",""
"2014","Luxembourg","Females","Less than 1 year","Year","85.2",""
"2014","Hungary","Total","Less than 1 year","Year","76.0",""
"2014","Hungary","Males","Less than 1 year","Year","72.3",""
"2014","Hungary","Females","Less than 1 year","Year","79.4",""
"2014","Malta","Total","Less than 1 year","Year","82.1",""
"2014","Malta","Males","Less than 1 year","Year","79.9",""
"2014","Malta","Females","Less than 1 year","Year","84.3",""
"2014","Netherlands","Total","Less than 1 year","Year","81.8",""
"2014","Netherlands","Males","Less than 1 year","Year","80.0",""
"2014","Netherlands","Females","Less than 1 year","Year","83.5",""
"2014","Austria","Total","Less than 1 year","Year","81.6",""
"2014","Austria","Males","Less than 1 year","Year","79.1",""
"2014","Austria","Females","Less than 1 year","Year","84.0",""
"2014","Poland","Total","Less than 1 year","Year","77.8",""
"2014","Poland","Males","Less than 1 year","Year","73.7",""
"2014","Poland","Females","Less than 1 year","Year","81.7",""
"2014","Portugal","Total","Less than 1 year","Year","81.3",""
"2014","Portugal","Males","Less than 1 year","Year","78.0",""
"2014","Portugal","Females","Less than 1 year","Year","84.4",""
"2014","Romania","Total","Less than 1 year","Year","75.0",""
"2014","Romania","Males","Less than 1 year","Year","71.3",""
"2014","Romania","Females","Less than 1 year","Year","78.7",""
"2014","Slovenia","Total","Less than 1 year","Year","81.2",""
"2014","Slovenia","Males","Less than 1 year","Year","78.2",""
"2014","Slovenia","Females","Less than 1 year","Year","84.1",""
"2014","Slovakia","Total","Less than 1 year","Year","77.0",""
"2014","Slovakia","Males","Less than 1 year","Year","73.3",""
"2014","Slovakia","Females","Less than 1 year","Year","80.5",""
"2014","Finland","Total","Less than 1 year","Year","81.3",""
"2014","Finland","Males","Less than 1 year","Year","78.4",""
"2014","Finland","Females","Less than 1 year","Year","84.1",""
"2014","Sweden","Total","Less than 1 year","Year","82.3",""
"2014","Sweden","Males","Less than 1 year","Year","80.4",""
"2014","Sweden","Females","Less than 1 year","Year","84.2",""
